sector,filename,transit_events,n_points,depth_ppm,formal_error_ppm,reduced_chi_square,beta,robust_error_ppm
12,tess2019140104343-s0012-0000000066818296-0144-s_lc.fits,6,3332,8749.248838,84.42427649,6.574336645,4.664294171,1009.669529
38,tess2021118034608-s0038-0000000066818296-0209-s_lc.fits,7,4643,7523.403964,73.84513526,6.981999603,4.847644116,945.8941278
