chi2,comparison,dof,mean,n,p
1916.5421937662575,transitspectroscopy vs weighted flat,154,165.0194603234298,155,1.5194512304100358e-301
1302.2603023098877,ahsoka vs weighted flat,150,186.21213089281065,151,9.160801898983913e-183
1562.3246214813926,supreme-SPOON vs weighted flat,151,147.41010940140046,152,6.947874010613445e-233
