#Data spectrum
#Wavelength(microns)	fp/fs	error	width_bin(microns)
6.039714999999999945e-01 -5.869642663190732801e-05 9.264546388213493926e-05
6.101455000000000073e-01 -1.942967917670913685e-04 9.567022904150423860e-05
6.163825000000000554e-01 1.208850186674032408e-04 9.214833368821106813e-05
6.226840000000000153e-01 -6.602474601698130714e-05 7.452012122224488660e-05
6.290499999999999980e-01 -2.145948647935521161e-04 7.016982695041768718e-05
6.354804999999998927e-01 -8.529474168942675384e-05 6.789577167353483158e-05
6.419764999999999500e-01 -1.990022788191102659e-05 6.392129383750510890e-05
6.485389999999999766e-01 -4.981301885367393783e-05 6.208977282681866160e-05
6.551690000000000014e-01 -6.064163856892619569e-05 6.119189427864033404e-05
6.618665000000000243e-01 8.849140318890192283e-06 5.842152849871836892e-05
6.686324999999999630e-01 -1.651815831675577310e-04 7.423253910202772519e-05
6.754679999999999573e-01 -1.251999208805352706e-05 5.522631986341007391e-05
6.823730000000000073e-01 4.525208289024801669e-05 5.385410703284894304e-05
6.893484999999999197e-01 -5.021750157868306463e-05 5.288448936170617707e-05
6.963954999999999451e-01 -1.125497882301628989e-04 4.564727572393626886e-05
7.035145000000000426e-01 -2.466614450828317172e-05 5.086230723121667243e-05
7.107065000000000188e-01 1.114149682931108577e-05 5.173915802723449384e-05
7.179720000000000546e-01 7.392030109722408197e-05 5.162237668114722639e-05
7.253114999999999979e-01 1.077094767657198887e-05 5.165781652053048667e-05
7.327259999999999884e-01 -2.580611344855454972e-05 5.297072293313331550e-05
7.402165000000000550e-01 6.922693633442983559e-05 5.304226476015514976e-05
7.477834999999999344e-01 2.188190217463497838e-05 4.744611788396932948e-05
7.554279999999999884e-01 2.383523345403240292e-05 5.445559232802855108e-05
7.631505000000000649e-01 7.268647477705641633e-05 5.558702332415832762e-05
7.709520000000000817e-01 1.443989046845330255e-04 5.845145909259285996e-05
7.788334999999999564e-01 -6.327394919444749035e-05 5.189721666937740092e-05
7.867950000000000221e-01 -2.882245752455553359e-05 5.946310550605668027e-05
7.948380000000000445e-01 5.482291479166796495e-05 5.477515819111029296e-05
8.029634999999999412e-01 1.205695914536755769e-04 6.291268400460025743e-05
8.111720000000000041e-01 8.860843351680240134e-05 5.810890746847377839e-05
8.194645000000000401e-01 6.505803678476987752e-05 6.638127050911520294e-05
8.278415000000000079e-01 2.000777906011660251e-04 6.167584243119589608e-05
8.363039999999999363e-01 3.014599195145769087e-05 7.094277526799305854e-05
8.448534999999999240e-01 -4.802473380413965934e-06 6.642881037304955677e-05
8.534904999999999298e-01 1.171041587259592787e-04 7.682998453326928803e-05
8.622155000000000236e-01 -1.217016976364473013e-04 7.123050899060127472e-05
8.544169999999999821e-01 1.456150151334159040e-04 6.034071634874766944e-05
8.630949999999999456e-01 6.861462356344548463e-05 6.536032461633623685e-05
8.718609999999999971e-01 1.021962625878322820e-05 5.139686348361146353e-05
8.807160000000000544e-01 5.007265489406168018e-05 6.040673197658309626e-05
8.896610000000000351e-01 5.262377357929311916e-05 4.969210956738935933e-05
8.986969999999999681e-01 2.038586490206960650e-05 6.203997798607869716e-05
9.078249999999999931e-01 1.266305726305635981e-04 5.230109062188143806e-05
9.170454999999999579e-01 9.395290474170819894e-05 5.868121091235003345e-05
9.263595000000000024e-01 4.978563060432289521e-06 4.599013709606494734e-05
9.357679999999999332e-01 -5.165502603893430689e-05 5.377558736241204370e-05
