#Data spectrum
#Wavelength(microns)	fp/fs	error	
0.6052810437931780	-48.375339771854600	121.34542468555400
0.611364270363964	-209.3606166312600	112.80741516873700
0.617508634890235	-132.37393651790700	93.11189324041870
0.6237147518238050	9.759391497453470	87.24249850161400
0.6299832417918840	-297.1285414087030	79.9866933935284
0.6363147316591390	14.410768874813400	74.96506653587700
0.6427098545903860	-19.175180726479200	67.91771260137440
0.6491692501139080	-6.705780575315400	58.17551933935440
0.6556935641854050	-144.6201968030940	64.28310848309440
0.6622834492525940	40.863223558479400	60.183691882572000
0.6689395643204600	-77.54803630352980	55.609019311334600
0.6756625750171480	-13.048814093314600	54.97215018652210
0.6824531536605370	-78.24171702445280	52.03782588029290
0.6893119793254670	-47.82087560788300	51.3614135899338
0.6962397379116520	-104.39398548878300	47.87492501573190
0.7032371222122720	-2.1295234879509200	42.412319590073400
0.7103048319832490	-59.04876655128790	50.58481136124120
0.7174435740132320	55.374695767393200	49.91786838066450
0.7246540621942690	18.521345177175500	51.93539706820290
0.7319370175932070	-90.51945655746490	45.55075155506850
0.7392931685237920	19.866758288173300	51.9694706245005
0.746723250619508	26.3256779941846	51.35865216031430
0.7542280069071410	10.206160259104200	46.96394429189060
0.7618081878810820	126.99601407846000	54.81646996199560
0.7694645515783800	106.35019109362100	57.60332670755060
0.7771978636545440	-33.74873759956960	51.2988647570634
0.7850088974601180	-9.949126463082320	62.58294003474620
0.7928984341180080	43.19497237447830	55.09645067965470
0.8008672626016060	73.50172153994190	66.59411064962860
0.8089161798136830	51.84512772327560	59.247074338448200
0.8170459906660810	86.31320162117920	72.66443998173650
0.8252575081602130	157.08911677909200	65.58329774154490
0.8335515534683560	102.49313236334600	77.90898721297430
0.841298729607125	-106.20887932484000	83.78616101612490
0.8631904356109430	8.414697685980460	63.831516264902200
0.8718657163708520	-121.56883245611400	62.66834722665090
0.8806281858821160	-7.093808597894740	60.27767690377740
0.889478720413595	-15.884005128017800	60.04527770353310
0.8984182050408670	-19.1714398361808	62.50431654304520
0.9074475337347450	53.393239940074500	62.42960369190370
0.9165676094506720	36.5255060105051	61.03620661274800
0.9257793442190210	33.785979714859000	61.66733316407680
0.9350836592362970	-1.3237185762454300	60.10605653054020
0.9444814849572650	74.44345942244710	57.698550107377000
0.9539737611879910	83.32451240391550	58.85015524667400
0.9635614371798300	82.28260603372260	60.58587362597870
0.9732454717243510	-62.110831073995300	57.586480796471800
0.9830268332492190	3.295445396417920	32.770028891558300
0.9929064999150400	-33.549130547234300	59.781846238574000
1.0028854597131800	40.90248636630110	59.066144904718600
1.01296471056457	78.29052731423300	57.94133940739310
1.0231452604194900	78.45544470013170	58.545354783473700
1.0334281273583800	42.279838159719400	30.4300787300734
1.0438143396936400	84.37294098147700	56.868366765003600
1.0543049360724700	47.25197560802810	56.496811750697800
1.0649009655807400	84.95474811977620	58.93161708935440
1.0756034878478800	62.61629507219070	31.620639643082800
1.0864135731528800	98.76288259116690	63.24434736442640
1.0973323025313000	96.13699395758140	63.24987472429360
1.1083607678833800	69.05949816384370	31.40040017291380
1.1195000720832100	102.7610753351080	62.33743722356810
1.130751329089070	147.70428867243700	31.965326166520300
1.1421156640547900	122.73518120696800	63.53900406582410
1.1535942134422800	27.66666683737170	65.23288804375210
1.1651881251351600	108.93856508657400	33.05492008788260
1.1768985585536100	65.1777554789434	65.8117069729729
1.1887266847702300	152.33879243570500	33.53015440897160
1.2006736866272100	115.89031574887900	69.34463877948350
1.2127407588546200	119.22326621402500	34.27221198946450
1.2249291081898500	126.32148566902700	34.36470210318120
1.2372399534982900	156.27706948674100	71.88004794241790
1.2496745258952500	167.97977622976900	35.756429900851500
1.2622340688690800	168.00060500241300	76.70183848541920
1.2749198384054500	185.82658505718500	35.44824059631260
1.287733103113040	178.31063139056500	36.02207836154300
1.300675144350360	201.78035458073400	82.55111153777410
1.3137472563538800	187.40977639735700	37.97214849641670
1.3269507463674900	203.5568776180500	37.72132147951990
1.3402869347731900	149.5904615673330	39.11156831744780
1.3537571552231700	162.68853396976400	41.10866600229840
1.367362754773150	118.80776525286100	99.86340084478780
1.3811050940171000	186.1845797734850	42.38155784576120
1.3949855472233100	71.45382098456930	43.807406748028000
1.409005502471780	123.17920717653600	44.9489827191008
1.4231663617931100	119.56087329252600	45.61989919821390
1.437469541308620	138.53659457553800	48.12562395473950
1.451916471372020	147.03747638833900	50.04583973258250
1.4665085967124400	124.61081820453900	51.00270094995340
1.4812473765789000	127.1601263001190	52.41351132634140
#1.4961342848862200	106.80139772230300	54.36155822238240
1.5111708103624700	158.10491599936300	56.315819745028500
1.5263584566977700	142.78306298716600	57.89763249296280
1.54169874269473	270.52019285484200	57.82677100461200
1.5571932024203100	274.5534127224250	38.666137316172100
1.5728433853592000	194.91698255613400	62.764532236104900
1.5886508565688400	339.85619421266100	64.72699829025780
1.6046171968358700	359.0841518240250	65.6987548175017
1.6207440028342200	339.4239193892310	42.928288035949500
1.6370328872848100	328.29141979421300	70.01815928867360
1.65348547911682	362.5367509695410	73.51198195913260
1.670103423630560	489.0316563536140	49.08543844563990
1.68688838266202	405.74270308130100	80.59594367615620
1.7038420347490800	395.270300202668	50.66544922935870
1.7209660752993200	334.2306665633760	85.51970321522560
1.738262216759610	407.8935065576240	54.6101816323712
1.7557321887873500	312.9341690356890	92.2724373566527
1.7733777384234000	357.8431839652190	58.4874440064462
1.7912006302668500	302.8695984246140	60.666188095010200
1.809202646651440	403.0317121678170	104.58731046587200
1.8273855878238200	364.72826733447300	66.82987318858600
1.845751272123560	378.92612511300200	65.47733349058820
1.864301536165000	420.4455105328630	70.04532290321490
1.883038235020930	322.51106169387900	126.49996572340600
1.901963242408070	407.8959683452640	72.70506584567090
1.9210784508744900	440.69698663893700	76.16763356082030
1.9403857719888000	516.8866230267290	81.4776103944387
1.9598871365314000	466.0938963659710	79.72920114349220
1.9795844946875000	464.9537224131250	86.41704766364500
1.9994798162421500	426.0711582380390	88.37493429008240
2.0195750907772400	416.8608564019000	92.1134807671089
2.0398723278704800	474.0680695399900	97.25279375874290
2.0603735572963200	484.9633978026110	78.16137064078950
2.0810808292289400	547.9635526654910	103.97583308276400
2.101996214447320	664.3025492090590	110.31713119415600
2.123121804542270	539.0883823520470	113.31602600348700
2.1444597121256100	622.9773700966390	84.64274153012460
2.1660120710414500	625.3474453329190	126.32923905233100
2.187781036579550	688.9257213823320	88.83599552617710
2.209768785690900	836.4342646592450	127.42784053699400
2.2319775172053900	772.9767228396490	90.19994227668820
2.2544094520516700	1012.9078546495500	135.79706521734500
2.2770668334793300	775.5795019117260	98.22695828530550
2.299951927283140	814.0439065304480	99.47573185603540
2.323067022029700	999.1239991862540	148.4829956913860
2.346414429286280	765.970047512458	106.08870345511900
2.369996483851970	488.62603429800300	109.12461255119000
2.3938155439911900	917.3756504970320	113.36164015239900
2.417873991669490	874.2611895001930	119.72037876675600
2.442174232791800	630.6639748501200	122.25472544116600
2.4667186974429700	872.1036255896840	131.81565064289500
2.4915098401308400	663.4393806954540	137.4776530921270
2.516550140031650	878.3730172005450	140.19761501276600
2.541842101238000	694.2375670488480	148.54122731557400
2.5673882530092400	888.4378372424260	151.4068360416330
2.5931911500244100	769.6861096422180	155.40855631209300
2.6192533726377200	670.8871386433960	170.32245963544700
2.645577527136590	701.9057453236180	131.14260862468500
2.6721662460022800	454.98020846356200	185.45270989748700
2.6990221881731600	655.9601547478700	149.02298371967100
2.726148039310580	434.622910173362	226.1074670870810
2.7535465120674700	943.9429821126980	239.2688800840530
2.781220346359600	854.830182422788	177.66514697608500
2.8077863197269200	969.3329686465550	219.04838705272400
