#Data spectrum
#Wavelength(microns)	width_bin(microns)	fp/fs(ppm)	error	(ppm)
6.290499999999999980e-01 3.198999999999951882e-03 2.647680832003999853e+02 2.697591842613500148e+02
6.354804999999998927e-01 3.231499999999998263e-03 3.433833766046000164e+02 1.315141787651500067e+02
6.419764999999999500e-01 3.264500000000003510e-03 2.817874661683999875e+02 1.621786261386500030e+02
6.485389999999999766e-01 3.298000000000023135e-03 4.151484300672000245e+02 1.548814378980500237e+02
6.551690000000000014e-01 3.332000000000001627e-03 1.389687115275000053e+02 1.201235153262973938e+02
6.618665000000000243e-01 3.365500000000021252e-03 1.194085943655999955e+02 9.819755172990959124e+01
6.686324999999999630e-01 3.400499999999972989e-03 8.899852866672385687e+01 8.938592616144345016e+01
6.754679999999999573e-01 3.435000000000021370e-03 6.765946193758220772e+01 6.952096190855162661e+01
6.823730000000000073e-01 3.469999999999973106e-03 1.182257444847000016e+02 8.316610093882592025e+01
6.893484999999999197e-01 3.505499999999994731e-03 6.128401497046562696e+01 7.514422102826931393e+01
6.963954999999999451e-01 3.541500000000030735e-03 2.351023249902999908e+02 1.014808331687999896e+02
7.035145000000000426e-01 3.577500000000011227e-03 6.806801013991187688e+01 5.998610823161160965e+01
7.107065000000000188e-01 3.614499999999964963e-03 4.073077989353537021e+01 4.297103257823433609e+01
7.179720000000000546e-01 3.651000000000015344e-03 5.440061070779560026e+01 4.793677354229552634e+01
7.253114999999999979e-01 3.688499999999983459e-03 5.491904469628548924e+01 4.687840754850102343e+01
7.327259999999999884e-01 3.726000000000007084e-03 6.766121424437226040e+01 8.060139480794018141e+01
7.402165000000000550e-01 3.764500000000003954e-03 6.718877308782623459e+01 6.854721618126683325e+01
7.477834999999999344e-01 3.802499999999986446e-03 5.257396138022198073e+01 4.752600377711093671e+01
7.554279999999999884e-01 3.842000000000012072e-03 9.363042263703255230e+01 6.981342061573248259e+01
7.631505000000000649e-01 3.880500000000008942e-03 1.691649364756000011e+02 7.857657747456693187e+01
7.709520000000000817e-01 3.921000000000007812e-03 7.596558964947713832e+01 5.456899845540478822e+01
7.788334999999999564e-01 3.960499999999977927e-03 1.919217537191999838e+02 9.757195141331358457e+01
7.867950000000000221e-01 4.001000000000032308e-03 7.113594531804349685e+01 6.640886907112508197e+01
7.948380000000000445e-01 4.041999999999990045e-03 5.822849183282852437e+01 6.176998355185796896e+01
8.029634999999999412e-01 4.083499999999962160e-03 1.203205375552999925e+02 7.091966851676778560e+01
8.111720000000000041e-01 4.125000000000045297e-03 9.553987527423076642e+01 7.684781624662977606e+01
8.194645000000000401e-01 4.167499999999990656e-03 1.176739856231999966e+02 9.245214823168367957e+01
8.278415000000000079e-01 4.209499999999977149e-03 2.282755999035000229e+02 9.719021642394417881e+01
8.363039999999999363e-01 4.253000000000006775e-03 1.133866742533000007e+02 7.709070216585961077e+01
8.448534999999999240e-01 4.296499999999980890e-03 1.336671878583999842e+02 1.220557804695361312e+02
8.534904999999999298e-01 4.340500000000024894e-03 1.100322356352999975e+02 8.021019776819044012e+01
8.622155000000000236e-01 4.384500000000013387e-03 1.585269526917000178e+02 1.382259063957999956e+02
8.544169999999999821e-01 4.317000000000015270e-03 1.029899417110000002e+02 6.855648546979963953e+01
8.630949999999999456e-01 4.361000000000003762e-03 1.514133467890000020e+02 9.075771735479668223e+01
8.718609999999999971e-01 4.404999999999992255e-03 2.388938073212000006e+02 1.360297901689000071e+02
8.807160000000000544e-01 4.450000000000009504e-03 8.201942144882637820e+01 6.500518578072197329e+01
8.896610000000000351e-01 4.494999999999971241e-03 1.612554796527000178e+02 1.188859707687499991e+02
8.986969999999999681e-01 4.541000000000017245e-03 4.131858203925887807e+01 4.636479948019090358e+01
9.078249999999999931e-01 4.587000000000007738e-03 1.075346341340000009e+02 6.862424407951753835e+01
9.170454999999999579e-01 4.633500000000012609e-03 1.138429528223999938e+02 7.399650724640896726e+01
9.263595000000000024e-01 4.680499999999976346e-03 7.810264982945270162e+01 7.048508843641735666e+01
9.357679999999999332e-01 4.728000000000009972e-03 1.815509656424000013e+02 1.404940332855000236e+02
9.452720000000000011e-01 4.776000000000002466e-03 6.113000738102605425e+01 4.441029344698020509e+01
9.548730000000000828e-01 4.825000000000023714e-03 7.627635726894268942e+01 6.945379194065445461e+01
